السنة, الإمارة,نوع الإصابة,القيمة
2016,أبو ظبي,وفيات,289
2016,دبي,وفيات,198
2016,الشارقة,وفيات,132
2016,عجمان,وفيات,19
2016,أم القيوين,وفيات,15
2016,رأس الخيمة,وفيات,60
2016,الفجيرة,وفيات,12
2015,أبو ظبي,وفيات,245
2015,دبي,وفيات,166
2015,الشارقة,وفيات,159
2015,عجمان,وفيات,18
2015,أم القيوين,وفيات,12
2015,رأس الخيمة,وفيات,56
2015,الفجيرة,وفيات,19
2014,أبو ظبي,وفيات,267
2014,دبي,وفيات,177
2014,الشارقة,وفيات,135
2014,عجمان,وفيات,22
2014,أم القيوين,وفيات,12
2014,رأس الخيمة,وفيات,71
2014,الفجيرة,وفيات,28
2013,أبو ظبي,وفيات,289
2013,دبي,وفيات,160
2013,الشارقة,وفيات,107
2013,عجمان,وفيات,20
2013,أم القيوين,وفيات,10
2013,رأس الخيمة,وفيات,42
2013,الفجيرة,وفيات,23
2012,أبو ظبي,وفيات,272
2012,دبي,وفيات,122
2012,الشارقة,وفيات,107
2012,عجمان,وفيات,17
2012,أم القيوين,وفيات,19
2012,رأس الخيمة,وفيات,55
2012,الفجيرة,وفيات,35
2016,أبو ظبي,إصابة بليغة,156
2016,دبي,إصابة بليغة,166
2016,الشارقة,إصابة بليغة,64
2016,عجمان,إصابة بليغة,58
2016,أم القيوين,إصابة بليغة,13
2016,رأس الخيمة,إصابة بليغة,65
2016,الفجيرة,إصابة بليغة,38
2015,أبو ظبي,إصابة بليغة,295
2015,دبي,إصابة بليغة,198
2015,الشارقة,إصابة بليغة,86
2015,عجمان,إصابة بليغة,69
2015,أم القيوين,إصابة بليغة,7
2015,رأس الخيمة,إصابة بليغة,34
2015,الفجيرة,إصابة بليغة,33
2014,أبو ظبي,إصابة بليغة,240
2014,دبي,إصابة بليغة,204
2014,الشارقة,إصابة بليغة,123
2014,عجمان,إصابة بليغة,46
2014,أم القيوين,إصابة بليغة,12
2014,رأس الخيمة,إصابة بليغة,32
2014,الفجيرة,إصابة بليغة,23
2013,أبو ظبي,إصابة بليغة,366
2013,دبي,إصابة بليغة,197
2013,الشارقة,إصابة بليغة,130
2013,عجمان,إصابة بليغة,36
2013,أم القيوين,إصابة بليغة,6
2013,رأس الخيمة,إصابة بليغة,49
2013,الفجيرة,إصابة بليغة,36
2012,أبو ظبي,إصابة بليغة,366
2012,دبي,إصابة بليغة,172
2012,الشارقة,إصابة بليغة,150
2012,عجمان,إصابة بليغة,22
2012,أم القيوين,إصابة بليغة,11
2012,رأس الخيمة,إصابة بليغة,35
2012,الفجيرة,إصابة بليغة,28
2016,أبو ظبي,إصابة متوسطة,1445
2016,دبي,إصابة متوسطة,787
2016,الشارقة,إصابة متوسطة,334
2016,عجمان,إصابة متوسطة,208
2016,أم القيوين,إصابة متوسطة,33
2016,رأس الخيمة,إصابة متوسطة,211
2016,الفجيرة,إصابة متوسطة,92
2015,أبو ظبي,إصابة متوسطة,1480
2015,دبي,إصابة متوسطة,715
2015,الشارقة,إصابة متوسطة,351
2015,عجمان,إصابة متوسطة,154
2015,أم القيوين,إصابة متوسطة,45
2015,رأس الخيمة,إصابة متوسطة,150
2015,الفجيرة,إصابة متوسطة,82
2014,أبو ظبي,إصابة متوسطة,1397
2014,دبي,إصابة متوسطة,765
2014,الشارقة,إصابة متوسطة,365
2014,عجمان,إصابة متوسطة,156
2014,أم القيوين,إصابة متوسطة,56
2014,رأس الخيمة,إصابة متوسطة,175
2014,الفجيرة,إصابة متوسطة,115
2013,أبو ظبي,إصابة متوسطة,1544
2013,دبي,إصابة متوسطة,688
2013,الشارقة,إصابة متوسطة,391
2013,عجمان,إصابة متوسطة,167
2013,أم القيوين,إصابة متوسطة,47
2013,رأس الخيمة,إصابة متوسطة,150
2013,الفجيرة,إصابة متوسطة,113
2012,أبو ظبي,إصابة متوسطة,1408
2012,دبي,إصابة متوسطة,655
2012,الشارقة,إصابة متوسطة,397
2012,عجمان,إصابة متوسطة,167
2012,أم القيوين,إصابة متوسطة,64
2012,رأس الخيمة,إصابة متوسطة,165
2012,الفجيرة,إصابة متوسطة,166
2016,أبو ظبي,إصابة بسيطة,871
2016,دبي,إصابة بسيطة,1040
2016,الشارقة,إصابة بسيطة,363
2016,عجمان,إصابة بسيطة,122
2016,أم القيوين,إصابة بسيطة,41
2016,رأس الخيمة,إصابة بسيطة,450
2016,الفجيرة,إصابة بسيطة,124
2015,أبو ظبي,إصابة بسيطة,1008
2015,دبي,إصابة بسيطة,1276
2015,الشارقة,إصابة بسيطة,375
2015,عجمان,إصابة بسيطة,101
2015,أم القيوين,إصابة بسيطة,26
2015,رأس الخيمة,إصابة بسيطة,257
2015,الفجيرة,إصابة بسيطة,134
2014,أبو ظبي,إصابة بسيطة,1254
2014,دبي,إصابة بسيطة,1348
2014,الشارقة,إصابة بسيطة,342
2014,عجمان,إصابة بسيطة,90
2014,أم القيوين,إصابة بسيطة,35
2014,رأس الخيمة,إصابة بسيطة,149
2014,الفجيرة,إصابة بسيطة,181
2013,أبو ظبي,إصابة بسيطة,1445
2013,دبي,إصابة بسيطة,1459
2013,الشارقة,إصابة بسيطة,311
2013,عجمان,إصابة بسيطة,98
2013,أم القيوين,إصابة بسيطة,49
2013,رأس الخيمة,إصابة بسيطة,216
2013,الفجيرة,إصابة بسيطة,245
2012,أبو ظبي,إصابة بسيطة,1454
2012,دبي,إصابة بسيطة,1464
2012,الشارقة,إصابة بسيطة,313
2012,عجمان,إصابة بسيطة,96
2012,أم القيوين,إصابة بسيطة,25
2012,رأس الخيمة,إصابة بسيطة,144
2012,الفجيرة,إصابة بسيطة,284
